"parm","BG_12-17 months","BG_18-24 months","IN_12-17 months","IN_18-24 months","PE_12-17 months","PE_18-24 months","PK_12-17 months","PK_18-24 months"
"Incidence rate of other diarrhea","0.210","0.156","0.084","0.051","0.357","0.250","0.225","0.156"
"Incidence rate of Shigella diarrhea","0.078","0.098","0.029","0.028","0.049","0.078","0.035","0.029"
"Probability of detection of subclinical Shigella per month, no diarrhea in prior","0.013","0.029","0.009","0.015","0.028","0.050","0.004","0.004"
"Probability of detection of subclinical Shigella per month, diarrhea in prior month","0.029","0.066","0.020","0.036","0.065","0.111","0.010","0.010"
"Probability of detection of non-Shigella pathogen per month, no other diarrhea this month","0.855","0.825","0.765","0.724","0.803","0.766","0.730","0.685"
"Probability of detection of non-Shigella pathogen per month, other diarrhea this month","0.924","0.907","0.872","0.845","0.895","0.872","0.849","0.819"
"Modified Vesikari score of Shigella diarrhea (mean, sd)","3.67 (1.68)","3.42 (1.65)","4.58 (2.29)","2.87 (1.83)","3.72 (1.87)","3.77 (2.12)","6.27 (2.56)","4.98 (2.53)"
"Modified Vesikari score of other diarrhea (mean, sd)","3.49 (1.84)","2.99 (1.45)","3.52 (2.19)","2.77 (1.69)","3.83 (2.24)","3.31 (1.63)","5.19 (2.50)","4.68 (2.13)"
"Probability of Shigella diarrhea meeting GEMS MSD criteria (at mean score)","0.085","0.102","0.295","0.199","0.199","0.260","0.384","0.312"
"Probability of other diarrhea meeting GEMS MSD criteria (at mean score)","0.035","0.035","0.028","0.024","0.092","0.091","0.142","0.141"
"Probability of positive culture, subclinical Shigella, Ct=20","0.045","0.065","0.165","0.226","0.085","0.122","0.428","0.526"
"Probability of positive culture, Shigella diarrhea, Ct=20","0.119","0.167","0.362","0.457","0.211","0.284","0.682","0.761"
"Probability of positive culture, subclinical Shigella, Ct=30","0.008","0.011","0.031","0.045","0.015","0.022","0.107","0.151"
"Probability of positive culture, Shigella diarrhea, Ct=30","0.021","0.031","0.083","0.119","0.041","0.060","0.256","0.338"
"Subclinical Shigella quantity (mean, shape)","1.69 (2.35)","1.83 (2.35)","1.72 (2.35)","1.86 (2.35)","1.87 (2.35)","2.02 (2.35)","1.08 (2.35)","1.17 (2.35)"
"Mild Shigella diarrhea quantity (mean, shape)","3.15 (2.35)","3.41 (2.35)","3.20 (2.35)","3.46 (2.35)","3.48 (2.35)","3.77 (2.35)","2.00 (2.35)","2.17 (2.35)"
"Severe Shigella diarrhea quantity (mean, shape)","3.53 (2.35)","3.82 (2.35)","3.59 (2.35)","3.88 (2.35)","3.90 (2.35)","4.22 (2.35)","2.25 (2.35)","2.43 (2.35)"
"Subclinical other-pathogen quantity (mean, shape)","2.46 (2.17)","2.22 (2.17)","2.06 (2.17)","1.86 (2.17)","2.36 (2.17)","2.13 (2.17)","1.91 (2.17)","1.73 (2.17)"
"Mild other diarrhea quantity (mean, shape)","3.34 (2.17)","3.02 (2.17)","2.79 (2.17)","2.52 (2.17)","3.20 (2.17)","2.89 (2.17)","2.59 (2.17)","2.34 (2.17)"
"Severe other diarrhea quantity (mean, shape)","3.36 (2.17)","3.04 (2.17)","2.81 (2.17)","2.54 (2.17)","3.22 (2.17)","2.91 (2.17)","2.61 (2.17)","2.36 (2.17)"
